slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
108,1425,3DHST_31072,189.12702942,62.29675293,0,0,0.001000000047497451,6,2000,TARGET,7594.268950117634,10116.914331025764,A
11,115,z5_GND_7766,189.139984,62.291809,0,0,0.001000000047497451,3,2000,TARGET,7647.9141030888095,10170.535613897984,A
19,148,z7_GND_8358,189.155319,62.286461,0,0,0.001000000047497451,3,2000,TARGET,7708.469636456147,10231.064210750628,A
253,1899,z7_GND_42108,189.13443,62.307869,0,0,0.001000000047497451,5,2000,TARGET,7543.394321173941,10066.062393437549,A
21,150,z6_GND_42333,189.139923,62.308372,0,0,0.001000000047497451,3,2000,TARGET,7550.979708914477,10073.644434791082,A
103,1403,3DHST_30521,189.16781616,62.29322433,0,0,0.001000000047497451,6,2000,TARGET,7692.880089389506,10215.481695538549,A
15,141,z6_GND_7095,189.165024,62.30019,0,0,0.001000000047497451,3,2000,TARGET,7646.886069130584,10169.50819515156,A
6,37,z5_GND_42418,189.16655,62.305592,0,0,0.001000000047497451,3,2000,TARGET,7618.326671418737,10140.96158590398,A
164,1571,3DHST_35420,189.13903809,62.32794952,0,0,0.001000000047497451,6,2000,TARGET,7435.080305087069,9957.796826486543,A
10,103,z6_GND_41463,189.175934,62.311527,0,0,0.001000000047497451,3,2000,TARGET,7601.848222698427,10124.49066343408,A
155,1556,3DHST_34718,189.16574097,62.32295609,0,0,0.001000000047497451,6,2000,TARGET,7515.679259914965,10038.360136472846,A
128,1482,3DHST_32698,189.19586182,62.3069458,0,0,0.001000000047497451,6,2000,TARGET,7666.982522042367,10189.596148569153,A
18,144,z7_GND_5323,189.178101,62.324318,0,0,0.001000000047497451,3,2000,TARGET,7531.679969878895,10054.353934432382,A
240,1814,z5_GND_4732,189.179245,62.329845,0,0,0.001000000047497451,5,2000,TARGET,7501.807518571279,10024.494933109389,A
4,11,Jung18_z6_GND_5752,189.199585,62.320965,0,0,0.001000000047497451,1,2000,TARGET,7592.815993361004,10115.463031906434,A
238,1812,z5_GND_6005,189.21553,62.318878,0,0,0.001000000047497451,5,2000,TARGET,7635.91689870369,10158.545006876117,A
187,1614,3DHST_36327,189.19880676,62.33670807,0,0,0.001000000047497451,6,2000,TARGET,7500.085060373102,10022.773833727915,A
196,1628,3DHST_36728,189.19725037,62.34141922,0,0,0.001000000047497451,6,2000,TARGET,7469.780748456869,9992.483134153144,A
197,1629,3DHST_36731,189.20278931,62.34135818,0,0,0.001000000047497451,6,2000,TARGET,7480.953858008084,10003.651400666013,A
203,1637,3DHST_36951,189.20562744,62.34440231,0,0,0.001000000047497451,6,2000,TARGET,7468.903212373827,9991.606301999524,A
151,1550,3DHST_34570,189.24674988,62.32096863,0,0,0.001000000047497451,6,2000,TARGET,7684.779006187235,10207.386178870003,A
202,1636,3DHST_36894,189.21772766,62.34365082,0,0,0.001000000047497451,6,2000,TARGET,7496.9446059733145,10019.63550577177,A
175,1595,3DHST_35970,189.2394104,62.33294678,0,0,0.001000000047497451,6,2000,TARGET,7601.2527646211865,10123.897399956777,A
247,1875,z8_GNW_19912,189.252716,62.3284,0,0,0.001000000047497451,5,2000,TARGET,7653.598232069996,10176.219758950425,A
